Year,Month,Council,Applications,Assessments,pop
2019,1,Angus,45,45,NA
2019,2,Angus,65,60,NA
2019,3,Angus,45,40,NA
2002,4,Argyll & Bute,40,20,91020
2002,5,Argyll & Bute,40,50,91020
2002,6,Argyll & Bute,35,30,91020
2002,7,Argyll & Bute,50,40,91020
2002,8,Argyll & Bute,75,50,91020
2002,9,Argyll & Bute,50,55,91020
2002,10,Argyll & Bute,55,45,91020
2002,11,Argyll & Bute,55,35,91020
2002,12,Argyll & Bute,45,35,91020
2003,1,Argyll & Bute,75,45,90930
2003,2,Argyll & Bute,65,50,90930
2003,3,Argyll & Bute,85,60,90930
2003,4,Argyll & Bute,95,55,90930
2003,5,Argyll & Bute,65,55,90930
2003,6,Argyll & Bute,70,40,90930
2003,7,Argyll & Bute,75,45,90930
2003,8,Argyll & Bute,90,55,90930
2003,9,Argyll & Bute,55,40,90930
2003,10,Argyll & Bute,70,35,90930
2003,11,Argyll & Bute,55,50,90930
2003,12,Argyll & Bute,60,20,90930
2004,1,Argyll & Bute,105,60,90580
2004,2,Argyll & Bute,80,55,90580
2004,3,Argyll & Bute,90,50,90580
2004,4,Argyll & Bute,85,50,90580
2004,5,Argyll & Bute,55,25,90580
2004,6,Argyll & Bute,80,30,90580
2004,7,Argyll & Bute,95,50,90580
2004,8,Argyll & Bute,100,55,90580
2004,9,Argyll & Bute,80,65,90580
2004,10,Argyll & Bute,80,55,90580
2004,11,Argyll & Bute,65,60,90580
2004,12,Argyll & Bute,60,40,90580
2005,1,Argyll & Bute,100,55,90340
2005,2,Argyll & Bute,80,65,90340
2005,3,Argyll & Bute,100,55,90340
2005,4,Argyll & Bute,85,55,90340
2005,5,Argyll & Bute,70,65,90340
2005,6,Argyll & Bute,105,65,90340
2005,7,Argyll & Bute,100,60,90340
2005,8,Argyll & Bute,105,70,90340
2005,9,Argyll & Bute,95,70,90340
2005,10,Argyll & Bute,100,55,90340
2005,11,Argyll & Bute,90,70,90340
2005,12,Argyll & Bute,65,30,90340
2006,1,Argyll & Bute,110,80,90860
2006,2,Argyll & Bute,100,65,90860
2006,3,Argyll & Bute,100,80,90860
2006,4,Argyll & Bute,65,50,90860
2006,5,Argyll & Bute,100,60,90860
2006,6,Argyll & Bute,85,65,90860
2006,7,Argyll & Bute,60,40,90860
2006,8,Argyll & Bute,105,60,90860
2006,9,Argyll & Bute,70,30,90860
2006,10,Argyll & Bute,100,60,90860
2006,11,Argyll & Bute,55,55,90860
2006,12,Argyll & Bute,50,35,90860
2007,1,Argyll & Bute,100,40,90790
2007,2,Argyll & Bute,100,55,90790
2007,3,Argyll & Bute,95,80,90790
2007,4,Argyll & Bute,80,45,90790
2007,5,Argyll & Bute,85,55,90790
2007,6,Argyll & Bute,110,75,90790
2007,7,Argyll & Bute,80,65,90790
2007,8,Argyll & Bute,90,50,90790
2007,9,Argyll & Bute,70,55,90790
